"age0"	"age1"	"age2"	"age3"	"age4"	"age5"	"age6"	"age7"	"age8"	"age9"	"age10"	"age11"	"age12"	"age13"	"age14"	"age15"	"age16"	"age17"	"age18"	"age19"	"age20"	"age21"	"age22"	"age23"	"age24"	"age25"	"age26"	"age27"	"age28"	"age29"	"age30"	"age31"	"age32"	"age33"	"age34"	"age35"	"age36"	"age37"	"age38"	"age39"	"age40"	"age41"	"age42"	"age43"	"age44"	"age45"	"sex"	"field"	"median"
0	0	0	0	0	0	0	0	0	0	1859.105	9308.54223887046	0	23977.0209659015	12439.5570711234	94663.7113386565	404126.400600564	626653.701890372	780213.701134339	1451547.19901881	1529834.61471843	1727158.04900884	2218448.06362229	1711381.84962968	1877788.2826528	1455816.86719282	1741877.07511982	2005768.73042001	1810708.30838646	1272818.82135472	1188573.54694769	860142.045247402	1379143.30793027	642786.471311897	610527.022830392	512328.079939968	317337.662050059	256571.122860944	291579.70688038	103709.135021893	43832.1056725718	91083.7779958467	37281.3424212388	3518.85768733001	0	0	"m"	"agebaby1"	25
0	0	0	0	6257.93243300173	7374.72443842024	0	0	18575.1603973741	15171.459810229	507317.475186525	409640.481577745	1338861.31827776	2882599.68886168	5064740.32152706	6999347.94519212	9611441.04514021	7537058.94025025	6565520.25786647	2859355.00143426	2040984.15873039	1532116.90072297	1239775.66061969	1094476.04507575	647121.544332065	434399.762501471	443421.346407938	539357.013548836	350887.84118149	198560.660715445	152373.05607705	104273.755021817	83447.7953622462	6609.02200600884	84648.0772200637	35000.8076159162	22681.4527449619	31409.1942389611	0	4557.98603809662	2323.46285754936	15648.7518199306	18398.9377068588	0	0	0	"m"	"agefstsx"	16
0	0	0	0	0	0	0	0	0	10143.0620903011	0	39340.5878449662	0	7288.5080498526	96551.2298569501	166548.418321597	739345.124015114	1389217.59550695	1712107.84831546	2432046.75979684	3083547.9826598	2606548.36147877	2352840.370624	2294460.50593106	2052140.73218181	1828213.60700613	1809168.3191402	1118837.35971534	899735.363646284	864858.020669289	567482.39166403	364470.997740334	201661.721709889	183042.937236856	287482.512422144	152363.880724007	85461.8376645932	48731.6802866508	37335.6511435705	51699.6522551496	84781.4472601313	5481.21725505853	0	0	0	0	"m"	"agecohab"	22
0	0	0	0	0	0	0	0	0	15171.459810229	10143.0620903011	0	0	0	42515.042465868	21833.3514629074	31615.9373716056	141664.978738221	605086.250662688	781640.661207194	1636596.06051525	1975419.93463069	2034291.00713175	2223900.03604992	2359442.12125955	1695089.05850588	1994863.48158278	2138900.10004767	1713202.37581078	1490242.808004	1283321.90589491	890237.595223586	529930.527111069	329378.475754255	366346.420153464	697916.075222528	209081.383286301	379856.934928339	103018.467910496	35143.9263127604	15648.7518199306	83815.9819764733	17175.9243066145	52726.209299308	0	0	"m"	"fmar1age"	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37572.5055212724	0	4942.53694459563	13105.6686856274	30466.1848335857	83194.8156471248	161128.714337305	267519.333621277	318343.186431131	599953.88059367	429829.459440098	329026.76600142	307028.919809995	413449.131646559	232474.413946797	255847.310997642	368022.815351097	371430.309969133	68855.2355604541	296186.236247049	116484.1388995	95325.7663411853	189196.118174203	111293.663927703	132956.919440659	174788.30399525	89581.0322779937	0	7293.48694584661	0	0	"m"	"agedd1"	28
0	0	0	0	0	0	0	0	2775.76577002741	0	9601.46649762813	7588.0622403338	4670.34460210761	56253.2760259621	160128.329253555	739424.262740892	1426267.73734396	2091848.73317148	2113987.61780505	3388447.89998918	2885307.10158714	2254432.49975275	2044878.40695196	1834745.80824742	1586149.84147207	1640769.28539658	1715824.16451538	1465656.63291812	1165783.04722823	1356431.64619042	1458592.06540054	1033862.33893616	708226.158434973	486584.510525316	412286.384640075	362331.599671779	229316.084263811	214872.640987583	145290.601999837	73987.6419582195	137617.139444347	55134.6893244804	7955.3817913251	0	0	0	"f"	"agebaby1"	22
0	0	0	11761.7898297991	25471.1527028071	34038.685044206	59470.4609459004	29858.5150953577	63595.5725448125	45680.7894188761	112284.234452567	195755.000466434	634807.712786665	2286053.72523018	4387863.17971419	7763950.02674774	9725085.45385981	8002611.81597701	6746879.21700206	3610524.01597258	2592988.47611004	1558114.71580099	1323730.25101424	1132210.08138244	924917.169221629	647406.366987593	335179.52067211	283750.01267486	253879.121220495	158707.95795554	32261.6674471896	78270.5618390951	69453.0339289308	31110.8385156532	9362.82453957608	19018.1557474628	12464.281232459	15852.3374637835	0	0	8620.36792281618	0	0	0	0	0	"f"	"agefstsx"	17
0	0	0	0	0	0	0	0	0	0	0	0	0	61979.931035855	164244.411048955	231943.79970009	585112.727907055	1067391.6497206	1654501.14486717	2286672.59556684	1772946.46119752	1819354.05326068	1531379.12417339	1273675.16789385	1373582.64721557	903730.750341316	785848.960478779	704210.413153591	644558.207516099	443190.524154942	384844.404896639	433573.29472931	290609.57465656	381599.943356063	200307.321549462	156318.217957416	290565.623708286	169093.179687539	112153.083571644	194669.02306718	77643.3797655146	154617.207809226	38091.956548523	49786.8178346019	0	0	"f"	"agecohab"	22
0	0	0	0	0	0	0	0	0	0	0	0	4618.22431354664	44682.2152974221	18460.9769261961	179797.159040282	346830.512545244	889635.520059996	2236438.61410537	2417817.33787194	2145668.29653338	2060088.44244166	2610768.63688508	2638063.152234	2308413.20540985	2475943.39701792	1863599.56868597	1556118.76625327	1347726.10392996	1065547.75236156	817634.1146284	683943.209018384	598377.270284046	448096.458516587	306574.50886608	409664.419541102	137328.88596832	140611.389584657	103356.550407669	74154.9038572293	46440.3327988008	24088.526051953	36709.3999197779	11587.7891013327	0	0	"f"	"fmar1age"	23
0	0	0	0	0	0	0	0	0	0	0	0	0	0	3805.77084635716	42831.1078653292	0	36070.6430732494	237604.741710201	191294.330903594	311890.650225607	320607.769611995	232980.979791213	719921.79368833	689259.572558308	831745.121950153	528197.157583806	546978.539514311	425976.070887467	531377.701458755	280190.222523741	337078.375999351	574786.10547414	478538.967864872	220145.698673903	328604.329576149	288901.271861195	199773.874050389	166980.771450904	132434.629057464	212715.118500319	112767.013316155	29868.5580725436	22297.5646831213	0	0	"f"	"agedd1"	27